trialType,trialID,Condition,TargetImage,TargetObjectPos,DistracterImage,DistracterObjectPos,Audio,trialStartSilence,trialEndSilence,trialAudioDuration,AG,AGType,AGImage,AGAudio,AGVideo,AGTime,AGgetInput
test,1,Filler,fireworks_left,bottomLeft,fireworks_right,bottomRight,start,0,1000,6381,0,,,,,,
test,2,Teaching,Novel2,bottomLeft,black,bottomRight,tever_teaching,0,1000,8545,0,,,,,,
test,3,Teaching,Novel3,bottomRight,black,bottomLeft,loga_teaching,0,1000,8545,0,,,,,,
test,4,Teaching,Novel1,bottomLeft,black,bottomRight,nage_teaching,0,1000,8545,0,,,,,,
test,5,Teaching,Novel4,bottomRight,black,bottomLeft,jick_teaching,0,1000,8545,0,,,,,,
test,6,Toy-Fam,Blocks,bottomLeft,Novel1,bottomRight,blocks_cool,0,1000,6201,0,,,,,,
test,7,Food-Nov,Novel4,bottomLeft,Cheese,bottomRight,jick_look_cool,0,1000,6201,0,,,,,,
test,8,Toy-Nov,Novel3,bottomLeft,Truck,bottomRight,loga_where_check,0,1000,6201,0,,,,,,
test,9,Food-Fam,Carrots,bottomRight,Novel4,bottomLeft,carrots_wow,0,1000,6201,0,,,,,,
test,10,Toy-Fam,Bear,bottomRight,Novel3,bottomLeft,bear_wow,0,1000,6201,0,,,,,,
test,11,Food-Nov,Novel2,bottomRight,Corn,bottomLeft,tever_where_wow,0,1000,6201,0,,,,,,
test,12,Food-Nov,Novel2,bottomLeft,Cookie,bottomRight,tever_find_cool,0,1000,6201,0,,,,,,
test,13,Toy-Nov,Novel3,bottomRight,Puzzle,bottomLeft,loga_find_cool,0,1000,6201,0,,,,,,
test,14,Food-Nov,Novel4,bottomRight,Donut,bottomLeft,jick_find_wow,0,1000,6201,0,,,,,,
test,15,Toy-Nov,Novel1,bottomRight,Doll,bottomLeft,nage_find_wow,0,1000,6201,0,,,,,,
test,16,Food-Fam,Apple,bottomLeft,Novel2,bottomRight,apple_cool,0,1000,6201,0,,,,,,
test,17,Food-Nov,Novel2,bottomRight,Cookie2,bottomLeft,tever_look_cool,0,1000,6201,0,,,,,,
test,18,Toy-Fam,Duck,bottomRight,Novel1,bottomLeft,duck_wow,0,1000,6201,0,,,,,,
test,19,Toy-Nov,Novel3,bottomLeft,Truck2,bottomRight,loga_look_wow,0,1000,6201,0,,,,,,
test,20,Toy-Nov,Novel1,bottomLeft,Ball2,bottomRight,nage_where_cool,0,1000,6201,0,,,,,,
test,21,Toy-Nov,Novel3,bottomRight,Bear2,bottomLeft,loga_find_check,0,1000,6201,0,,,,,,
test,22,Toy-Fam,Boat,bottomLeft,Novel3,bottomRight,boat_check,0,1000,6201,0,,,,,,
test,23,Food-Fam,Cake,bottomLeft,Novel4,bottomRight,cake_check,0,1000,6201,0,,,,,,
test,24,Food-Nov,Novel4,bottomLeft,Cheese2,bottomRight,jick_where_check,0,1000,6201,0,,,,,,
test,25,Food-Fam,Grapes,bottomRight,Novel2,bottomLeft,grapes_check,0,1000,6201,0,,,,,,
test,26,Toy-Nov,Novel1,bottomLeft,Ball,bottomRight,nage_look_check,0,1000,6201,0,,,,,,
test,27,Toy-Nov,Novel1,bottomRight,Duck2,bottomLeft,nage_where_wow,0,1000,6201,0,,,,,,
test,28,Food-Nov,Novel2,bottomLeft,Apple2,bottomRight,tever_look_check,0,1000,6201,0,,,,,,
test,29,Food-Nov,Novel4,bottomRight,Cake2,bottomLeft,jick_find_check,0,1000,6201,0,,,,,,
